X-axis,Y-axis,time(in seconds)
89.54,31.34,529
92.11,30.28,530
88.17,35.54,531
87.6,29.55,532
87.55,17.9,533
88.43,33.64,534
86.99,31.79,535
84.75,42.29,536
87.66,32.77,537
84.74,18.4,538
91.5,30.7,539
80.86,25.04,540
70.65,28.9,541
87.54,33.73,542
86.63,32.85,543
87.39,36.4,544
79.98,42.78,545
83,33.24,546
82.57,13.93,547
86.46,25.46,548
86.7,29.72,549
85.74,30.65,550
80.33,30.14,551
74.6,31.61,552
72.33,26.85,553
76.35,29.1,554
73.68,25.79,555
75.69,26.76,556
73.5,28,557
71.45,38.94,558
74.2,29.94,559
73.57,24.44,560
79.14,28.93,561
75.59,33.72,562
58.41,35.33,563
73.58,30.15,564
72.89,27.86,565
74.13,32.47,566
69.91,41.05,567
62.21,22.07,568
70.36,28.23,569
72.9,20.63,570
73.66,25.23,571
70.72,25.06,572
78.15,25.6,573
72.98,30.61,574
72.78,23.82,575
72.23,31.03,576
78.37,26.9,577
73.59,28.96,578
72.14,21.59,579
71.67,24.05,580
71.06,18.06,581
71.76,27.34,582
71.8,35.9,583
69.34,31.08,584
59.79,32.86,585
72.75,29.19,586
71.03,26.97,587
71.83,30.52,588
69.48,37.67,589
59.09,18.6,590
71.32,21.61,591
68.36,13.49,592
69.98,18.01,593
70.73,23.89,594
63.7,28.87,595
49.54,26.6,596
49.29,24.48,597
53.05,28.09,598
57.45,19.31,599
50.25,30.11,600
50.08,33.15,601
57.74,36.65,602
51.23,17.58,603
52.51,32.03,604
58.64,9.72,605
50.12,18.05,606
48.41,25.65,607
49.84,31.4,608
46.13,30.63,609
44.99,30.02,610
49.79,21.84,611
49.14,32.98,612
50.7,9.54,613
49.15,27.23,614
50.64,28.76,615
49.43,30.18,616
110.68,25.64,617
106.15,24.94,618
106.68,21.96,619
107.21,32.03,620
106.14,23.92,621
108.05,22.63,622
106.71,24.57,623
104.86,18.79,624
105.8,22.57,625
104.1,32.95,626
110.13,25.1,627
101.84,31.42,628
105.52,23.45,629
97.75,34.82,630
90.79,25.2,631
103.69,24.29,632
105.09,29.14,633
95.96,17.77,634
102.95,19.5,635
105.11,21.69,636
105.49,19.92,637
105.08,24.7,638
85.98,34.11,639
90.18,28.68,640
86.23,33.56,641
85.25,27.65,642
84.93,35.12,643
85.88,32.21,644
84.29,27.97,645
84.35,22.23,646
84.93,31.24,647
90.24,31.81,648
89.83,29.78,649
83.21,34.89,650
71.92,36.17,651
85.09,32.65,652
85.37,33.66,653
81.05,39.4,654
68.29,20.91,655
82.76,30.55,656
83.51,18.57,657
84.36,25.44,658
83.31,22.81,659
83.85,27.72,660
51.95,33.34,661
37.98,31.35,662
38.11,28.01,663
39.85,31.82,664
38.93,27.26,665
35.96,37.54,666
40.83,45.05,667
41.6,26.44,668
39.37,34.91,669
43.53,20.42,670
36.52,35.1,671
36.62,28.08,672
37.52,28.15,673
